SNname,HostName,redshift,type,data_file,download_url
SN2012dn,ESO 462-G16,0.010187,Ia-SC,SN2012dn_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012dn_uvotB15.1.dat
SN2012fr,NGC 1365,0.005457,Ia,SN2012fr_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012fr_uvotB15.1.dat
SN2012hj,MCG +08-20-89,0.024597,Ia,SN2012hj_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012hj_uvotB15.1.dat
SN2012hr,ESO 121-G26,0.007562,Ia,SN2012hr_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012hr_uvotB15.1.dat
SN2012ht,NGC 3447,0.003559,Ia,SN2012ht_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012ht_uvotB15.1.dat
SN2012ij,MCG +03-30-38,0.010998,Ia-91bg,SN2012ij_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2012ij_uvotB15.1.dat
SN2013E,IC 2532,0.009413,Ia,SN2013E_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013E_uvotB15.1.dat
SN2013Q,NGC 7753,0.017239,Ia,SN2013Q_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013Q_uvotB15.1.dat
SN2013aa,NGC 5643,0.003999,Ia,SN2013aa_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013aa_uvotB15.1.dat
SN2013ag,A125135+2637,0.02129,Ia,SN2013ag_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013ag_uvotB15.1.dat
SN2013bs,NGC 6343,0.027612,Ia,SN2013bs_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013bs_uvotB15.1.dat
SN2013cg,NGC 2891,0.007952,Ia,SN2013cg_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013cg_uvotB15.1.dat
SN2013cs,ESO 576-G17,0.00924,Ia,SN2013cs_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013cs_uvotB15.1.dat
SN2013cv,A162243+1857,0.035,Ia,SN2013cv_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013cv_uvotB15.1.dat
SN2013dy,NGC 7250,0.003889,Ia,SN2013dy_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013dy_uvotB15.1.dat
SN2013eh,A161609+3832,0.034999,Ia,SN2013eh_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013eh_uvotB15.1.dat
SN2013eu,UGC 5609,0.009266,Ia,SN2013eu_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013eu_uvotB15.1.dat
SN2013ex,NGC 1954,0.010441,Ia,SN2013ex_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013ex_uvotB15.1.dat
SN2013fn,IC 1342,0.027,Ia,SN2013fn_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013fn_uvotB15.1.dat
