Parameter Name                 Value
m0                             7.956279204254370e-03
m0                             7.690320406319946e-03
m0                             7.491908146849303e-03
m0                             7.297819844426049e-03
m0                             7.057185004556332e-03
m0                             6.734665168828580e-03
m0                             6.769045241215335e-03
m0                             6.480949371948705e-03
m0                             5.229368182044320e-03
m0                             4.472276674747320e-03
m0                             5.796617208125496e-03
m0                             5.542690050287185e-03
m0                             5.695565772080707e-03
m0                             1.283927845661759e-02
m0                             7.104851660474593e-03
m0                             2.635622610059393e-02
m0                             7.745720879993416e-02
m0                             4.655483981509207e-02
m0                             2.256767023173939e-01
m0                             1.568759120824486e-01
m0                             1.250557280304029e-01
m0                             2.014543070347678e-01
m0                             2.374330206130876e-01
m0                             1.081202272987252e-01
m0                             2.046832568367383e-01
m0                             2.037966171074257e-01
m0                             3.213089673427355e-01
m0                             3.477645382330660e-01
m0                             5.037669780404824e-01
m0                             2.212823098147170e-01
m0                             1.837548745333929e-01
m0                             1.671285162663473e-01
m0                             5.609629656043071e-01
m0                             4.584972923194717e-01
m0                             4.117203104804401e-01
m0                             5.485398811299648e-01
m0                             4.294924816431982e-01
m0                             3.842796038408412e-01
m0                             2.093511956870018e-01
m0                             3.221554765067265e-01
m0                             3.144863353629098e-01
m0                             4.031639007196398e-01
m0                             3.770351242950704e-01
m0                             3.208446304713468e-01
m0                             2.461595036881737e-01
m0                             2.642457584760800e-01
m0                             1.724939052445289e-01
m0                             2.429997944421851e-01
m0                             1.766325746899169e-01
m0                             2.840847284403895e-01
m0                             2.804292430890710e-01
m0                             2.877415471851695e-01
m0                             1.399200066969432e-01
m0                             2.215042574040726e-01
m0                             1.825287167577280e-01
m0                             1.530421065717465e-01
m0                             2.604457210006904e-01
m0                             2.262894459695587e-01
m0                             2.250958683815415e-01
m0                             1.802042478222966e-01
m0                             2.123482423603214e-01
m0                             2.031564823951106e-01
m0                             2.089328963975463e-01
m0                             1.702472317833180e-01
m0                             3.413650706156235e-02
m0                             1.165944395002140e-01
m0                             1.696098456164251e-01
m0                             1.712883541829145e-01
m0                             1.610428735691936e-01
m0                             1.427808478298022e-01
m0                             1.333887533766647e-01
m0                             1.181491602159282e-01
m0                             1.096384415185544e-01
m0                             9.645704767309475e-02
m0                             8.872612372741116e-02
m0                             8.323065077979219e-02
m0                             7.804036257278683e-02
m0                             7.282271745938058e-02
m0                             7.054721446700359e-02
m0                             6.828001191646280e-02
m0                             6.444673288951455e-02
m0                             6.006607404889119e-02
m0                             5.001325764924970e-02
m0                             4.688846972234037e-02
m0                             3.685178456212373e-02
m0                             4.833268130579039e-02
m0                             4.467368120657457e-02
m0                             4.975341265832036e-02
m0                             5.418122247739753e-02
m0                             5.817853840929658e-02
m0                             5.085737992073645e-02
